id,collection,dc.contributor.author,dc.date.issued,dc.identifier.uri,dc.language.iso[en_US],dc.source.issue[en_US],dc.source.pagenumber[en_US],dc.title[en_US],dc.type[en_US]
"bfa37b4c-0d46-4c49-a432-20c373a694e3","11250/3011260","Frøvik, Tim Joel","2024","https://hdl.handle.net/11250/3157921","nno",,"76","Latinbruk i Lárentíus saga biskups - hvordan og hvorfor?","Master thesis"
"bfacce12-9d9a-45a2-b807-3dd3a2b62e12","11250/3011260","Wiig, Ida-Sofie Isaksen","2023","https://hdl.handle.net/11250/3084962","nob",,"177","Æi kjørrke i soLa og en kjirrke i solen? En casestudie av genusbruk og talemålsvariasjon i gamle Trøgstad kommune","Master thesis"
"c1eac8c4-17fe-4ca4-ad37-a9b0324e8d9b","11250/3011260","Abelgaard, Vilde Lykke||Frantzen, Josefine","2024","https://hdl.handle.net/11250/3155233","nob",,"86","Grunnskolelæreres perspektiver og pedagogiske tilnærminger til utforskende og problemløsende matematikkundervisning - en kvalitativ studie","Master thesis"
"c7bafd42-036a-4537-96ce-cd92c7e33632","11250/3011260","Ramberg, Peder||Vikanes, Vetle Wilhelm Due","2023","https://hdl.handle.net/11250/3084776","nob",,"101","Så Volumet kan jo bli uendelig stort». Elevers matematiske kompetanse gjennom utforsking og taktile læringsaktiviteter","Master thesis"
"c8855876-ccad-4385-9e5a-b721bbd42d52","11250/3011260","Karlsen, Emilie Karoline","2022","https://hdl.handle.net/11250/3016548","nob",,"82","Fysisk aktiv læring i matematikkundervisningen – Læreres forståelse, bruk og kobling til matematikklæring","Master thesis"
"cc86441c-541d-4812-834c-ffeb58c61e4b","11250/3011260","Stenersrød, Christer R.","2024","https://hdl.handle.net/11250/3153369","nob",,"86","Potensiale for dybdelæring i algebra gjennom Python programmering i ungdomsskole","Master thesis"
"d0e610d1-fd04-44d9-9aac-092ea2cc444c","11250/3011260","Lundberg, Mattis||Dahle, Maja Helene","2024","https://hdl.handle.net/11250/3155173","eng",,"85","Evaluating the Validity of the English National Test in Norwegian Secondary Education, as Proposed by the Ministry of Education and Research and Perceived by In-Service Teachers","Master thesis"
"d2c88968-a1e7-4cf7-8dfd-f9c12160f2ba","11250/3011260","Hansen, Victoria Draget","2023","https://hdl.handle.net/11250/3085187","nob",,"65","Alt går i sirkler. En lesning av Máret Ánne Saras Mellom verdener (Ilmmiid gaskkas), med utgangspunkt i ‘det uhyggelige’","Master thesis"
"d63a53f1-d6eb-4a31-b4c3-e914ccbbaee5","11250/3011260","Jensen, Tuva Dahl||Mathisen, Marthe Synnøve","2023","https://hdl.handle.net/11250/3085186","nob",,"99","«Hvorfor velge Wergeland når du kan velge Valkeapää?» - Norsklærere og norskstudenters samtaler om samiske temaer i LK20","Master thesis"
"daa39893-60d4-4bc1-acaa-c2f8f2ed63ee","11250/3011260","Spro, Joakim","2024","https://hdl.handle.net/11250/3155211","nob",,"68","Elevenes Kamp om Anerkjennelse: En Fenomenologisk Studie om Skolevegreres Opplevelse av Anerkjennelse i Skolen","Master thesis"
