id,collection,dc.contributor.author,dc.contributor.editor,dc.date.issued,dc.identifier.uri,dc.language.iso[en_US],dc.source.issue[en_US],dc.source.pagenumber[en_US],dc.title[en_US],dc.type[en_US]
"86f0129d-a5d9-4018-9963-c21800445827","11250/3011257","Lefstad, Emilie Lefstad||Odenbratt, Melanie Evje",,"2024","https://hdl.handle.net/11250/3155197","nob",,"94","Grenseobjekter skaper trygghet - i en allerede stor, men nødvendig overgang","Master thesis"
"883e2881-29a6-4aaf-877b-ea3f1f3bd4c6","11250/3011257","Larsgård, Martine Dahl||Syversen, Karoline Elise",,"2022","https://hdl.handle.net/11250/3011901","nob",,"98","Hvordan ser lærere på mellomtrinnet på fysisk aktiv læring som en læringsmetode i matematikkundervisningen?","Master thesis"
"8e20b4f4-5034-4182-bf8b-e164c9cbd238","11250/3011257","Rostad, Camilla Antonsen",,"2023","https://hdl.handle.net/11250/3084808","nob",,"104","Lek og læring i matematikkundervisningen: en kvalitativ innholdsanalyse av to læreverk på 3. trinn i faget matematikk","Master thesis"
"8f2d29a9-b243-40d5-8a9c-c93f5b5729a1","11250/3011257","Løkke, Eline Heieren",,"2022","https://hdl.handle.net/11250/3016568","nob",,"82","Ordforråd og forståelse hos minoritetsspråklige elever på 5.trinn -","Master thesis"
"910a9cd4-a717-4480-8db0-9a1fe32b8e30","11250/3011257","Håkonsen, Mari Kirstine Frantzen",,"2022","https://hdl.handle.net/11250/3016565","nob",,"97","Skriftlig respons på mellomtrinnet: Hva gjør lærerne og hva synes SNO-elevene?","Master thesis"
"9275f46b-c229-4a92-9cc7-281336a996dd","11250/3011257","Kristiansen, Julie Marie Elde||Sørensen, Ina Martine",,"2022","https://hdl.handle.net/11250/3011798","nob",,"113","Skolestress på barnetrinnet, en gjensidig relasjon mellom tre ulike nivåer – en kvalitativ studie.","Master thesis"
"998dbc48-8e89-4c70-8794-63815ae2a4f0","11250/3011257","Myhrvold_Henriette, Henriette Lund||Nordmo_Lisbet Johanne, Lisbet Johanne",,"2022","https://hdl.handle.net/11250/3084812","nob",,"94","En kvalitativ innholdsanalyse av programmeringsoppgaver i lys av algoritmisk tenking -","Master thesis"
"9a6bfad4-ac25-4480-8403-afaf267bf0b2","11250/3011257","Frydenlund, Sandra",,"2022","https://hdl.handle.net/11250/3016561","nob",,"72","Grønne analyser: Om bærekraft og økoliteracy og sånt - En eksempelstudie som favner reisen mellom kunnskap og kompetanse i et konkret sakprosaverk utført i tegneseriestil.","Master thesis"
"a3926839-9e96-44c3-9de6-f251ae8a1e84","11250/3011257","Olsen, Fanny Borgås",,"2023","https://hdl.handle.net/11250/3084957","nob",,"70","Algoritmisk Tenkning i Matematikklærebøker på 4. Trinn","Master thesis"
"a4d79b73-8ed3-4b0c-b07c-2c236082138c","11250/3011257","Andersen, Mats Andre||Jensen, Simen Rustad",,"2023","https://hdl.handle.net/11250/3084959","nob",,"88","Muligheter og begrensninger ved bruk av digitale læremidler i matematikk","Master thesis"
